file,prompt_class,seed,class,confidence
emotional/img_0001.png,emotional,1827565368,W,0.9813
emotional/img_0002.png,emotional,2603989004,M,0.9873
emotional/img_0003.png,emotional,1844784659,M,0.9869
emotional/img_0004.png,emotional,3250905818,M,0.9874
emotional/img_0005.png,emotional,1336872266,M,0.9856
emotional/img_0006.png,emotional,1383510583,M,0.9865
emotional/img_0007.png,emotional,3333384951,W,0.9872
emotional/img_0008.png,emotional,3747042594,M,0.9865
emotional/img_0009.png,emotional,1105001245,M,0.9855
emotional/img_0010.png,emotional,3565736710,M,0.9866
emotional/img_0011.png,emotional,823256504,M,0.9879
emotional/img_0012.png,emotional,810805996,M,0.9868
emotional/img_0013.png,emotional,810032416,M,0.9871
emotional/img_0014.png,emotional,2011243986,M,0.9849
emotional/img_0015.png,emotional,3923254385,M,0.9859
emotional/img_0016.png,emotional,1820542234,M,0.5786
emotional/img_0017.png,emotional,2019082439,W,0.886
emotional/img_0018.png,emotional,1596864865,M,0.672
emotional/img_0019.png,emotional,1319082025,M,0.9872
emotional/img_0020.png,emotional,2852362091,M,0.9846
emotional/img_0021.png,emotional,3253107538,M,0.9849
emotional/img_0022.png,emotional,398607424,M,0.9869
emotional/img_0023.png,emotional,3619976995,M,0.9863
emotional/img_0024.png,emotional,3121284153,M,0.9871
emotional/img_0025.png,emotional,315221644,M,0.987
emotional/img_0026.png,emotional,4109036307,M,0.9872
emotional/img_0027.png,emotional,198897994,M,0.9862
emotional/img_0028.png,emotional,949110360,M,0.9869
emotional/img_0029.png,emotional,2758673376,M,0.9873
emotional/img_0030.png,emotional,2950385942,W,0.9867
emotional/img_0031.png,emotional,3772337351,M,0.9865
emotional/img_0032.png,emotional,2553449944,W,0.9734
emotional/img_0033.png,emotional,3018253199,W,0.9538
emotional/img_0034.png,emotional,2306762503,W,0.9849
emotional/img_0035.png,emotional,313985301,M,0.9873
emotional/img_0036.png,emotional,3382435958,W,0.9617
emotional/img_0037.png,emotional,702274922,M,0.9864
emotional/img_0038.png,emotional,3481530213,M,0.9876
emotional/img_0039.png,emotional,892266098,M,0.9847
emotional/img_0040.png,emotional,2406700089,M,0.9855
emotional/img_0041.png,emotional,2609938775,M,0.9874
emotional/img_0042.png,emotional,3780489825,M,0.9871
emotional/img_0043.png,emotional,298463066,M,0.9868
emotional/img_0044.png,emotional,3783362249,W,0.9872
emotional/img_0045.png,emotional,2315870080,M,0.9866
emotional/img_0046.png,emotional,1015315976,M,0.9868
emotional/img_0047.png,emotional,2582483386,M,0.9838
emotional/img_0048.png,emotional,1205293249,M,0.9867
emotional/img_0049.png,emotional,1454863667,M,0.9817
emotional/img_0050.png,emotional,4084003593,M,0.9863
emotional/img_0051.png,emotional,2047846768,M,0.9863
emotional/img_0052.png,emotional,1531729937,W,0.9855
emotional/img_0053.png,emotional,2437011919,M,0.9863
emotional/img_0054.png,emotional,1626455525,M,0.9827
emotional/img_0055.png,emotional,655471967,M,0.987
emotional/img_0056.png,emotional,95919736,M,0.9865
emotional/img_0057.png,emotional,440398440,M,0.9265
emotional/img_0058.png,emotional,98477065,M,0.9872
emotional/img_0059.png,emotional,3754814821,M,0.9863
emotional/img_0060.png,emotional,189613660,M,0.9863
emotional/img_0061.png,emotional,266125406,W,0.9875
emotional/img_0062.png,emotional,2514277287,W,0.8014
emotional/img_0063.png,emotional,3450221193,M,0.9798
emotional/img_0064.png,emotional,3673093713,M,0.9847
emotional/img_0065.png,emotional,1190899956,W,0.9821
emotional/img_0066.png,emotional,1419020572,M,0.9839
emotional/img_0067.png,emotional,1089723020,M,0.9869
emotional/img_0068.png,emotional,1729818386,M,0.9871
emotional/img_0069.png,emotional,716200433,M,0.987
emotional/img_0070.png,emotional,1809629708,M,0.9216
emotional/img_0071.png,emotional,1711232665,M,0.987
emotional/img_0072.png,emotional,2091012979,M,0.9864
emotional/img_0073.png,emotional,3312919016,W,0.9735
emotional/img_0074.png,emotional,471667868,M,0.9875
emotional/img_0075.png,emotional,3012291638,M,0.9873
emotional/img_0076.png,emotional,3562413856,W,0.9824
emotional/img_0077.png,emotional,2784257420,M,0.9875
emotional/img_0078.png,emotional,2834787959,M,0.9869
emotional/img_0079.png,emotional,2371500400,M,0.9866
emotional/img_0080.png,emotional,3920152293,M,0.9846
emotional/img_0081.png,emotional,3568673099,M,0.668
emotional/img_0082.png,emotional,2992621555,M,0.9857
emotional/img_0083.png,emotional,1985927238,M,0.9871
emotional/img_0084.png,emotional,1751527819,W,0.9774
emotional/img_0085.png,emotional,3876122950,W,0.9052
emotional/img_0086.png,emotional,2686848035,W,0.9825
emotional/img_0087.png,emotional,3038837237,M,0.984
emotional/img_0088.png,emotional,1962366245,M,0.987
emotional/img_0089.png,emotional,539786091,M,0.9867
emotional/img_0090.png,emotional,1831930689,M,0.8943
emotional/img_0091.png,emotional,3354462456,M,0.9864
emotional/img_0092.png,emotional,541920905,M,0.9867
emotional/img_0093.png,emotional,3261562750,M,0.9871
emotional/img_0094.png,emotional,1894926584,M,0.987
emotional/img_0095.png,emotional,339219071,M,0.9789
emotional/img_0096.png,emotional,1313950576,W,0.8592
emotional/img_0097.png,emotional,2503163546,M,0.9804
emotional/img_0098.png,emotional,1857585446,W,0.9855
emotional/img_0099.png,emotional,3512230959,W,0.5815
emotional/img_0100.png,emotional,1101464965,M,0.9844
